Department,Designation,Parameters,KRA (S.M.A.R.T GOALS),KPIs (Measuring Metrics & Data),Suggested Weightage,Comments
Application Support,Software Analyst,Internal / External Customer,Drop in Escalation,Drop in escalation by 80%,2.00,Sourced from Application Support / L1 Support
Application Support,Software Analyst,Internal / External Customer,C-SAT,8 by 10,2.00,Templatised data from client/internal manager; Sourced from Application Support / L1 Support
Application Support,Software Analyst,Internal / External Customer,MIS Report,based on frequency as per client requirement,3.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Application Support,Software Analyst,Internal / External Customer,Performance report to bank,Daily basis,3.00,"Not rated for this year - but practice initiated; Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Application Support,Software Analyst,People,Timely Interviews,Not more than 10% cancellation / postponement,3.00,Sourced from Application Support / L1 Support
Application Support,Software Analyst,People,Compliance to Zoho Time,1,3.00,Sourced from Application Support / L1 Support
Application Support,Software Analyst,People,Team attrition for Overall CI,< 15%,3.00,Sourced from Application Support / L1 Support
Application Support,Software Analyst,People,Employee Review Quarterly,1,2.00,Sourced from Application Support / L1 Support
Application Support,Software Analyst,People,Time sheet,100% Adherence,3.00,Sourced from Application Support / L1 Support
Application Support,Software Analyst,People,JIRA,100% Adherence,3.00,Sourced from Application Support / L1 Support
Application Support,Software Analyst,People,Interpersonal skills,No Major Escalation for behavioral issues,2.00,Sourced from Application Support / L1 Support
Application Support,Software Analyst,People,Training,40 hours of training in a year arrnaged by MGS,2.00,Sourced from Application Support / L1 Support
Application Support,Software Analyst,People,Timesheet,100% Adoption,1.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Application Support,Software Analyst,People,JIRA Tracking,100% Adoption,1.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Application Support,Trainee,Financial,Payment Milestones,Ontime or max delay of 3 months,3.00,Sourced from Application Support / L1 Support
Application Support,Trainee,Financial,Time to respond to RFPs Estimates,Max 5 days,2.00,Sourced from Application Support / L1 Support
Application Support,Trainee,Financial,People Addition to project,Not more than 10% more than planned,3.00,Sourced from Application Support / L1 Support
Application Support,Trainee,Financial,Incident analysis,100% adherence to SLA of trouble shooting and timely action based on defined SOPs and instructions by L2/ L3,5.00,Sourced from Application Support / L1 Support
Application Support,Trainee,Financial,Monthly Billing Data,before 5th of every month to A/C & Finance,3.00,"Mention Dependencies if any; Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Application Support,Trainee,Financial,Unplanned downtime,As per SLA,6.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Application Support,Trainee,Financial,Technical declines,Success Rate approx 99.95%,3.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Application Support,Trainee,Project / Process,Use of Tools (Zoho) for project Tracking,100% Adaption,3.00,Sourced from Application Support / L1 Support
Application Support,Trainee,Project / Process,Stage wise tracking of estimates planned vs actual,Every Month for all projects,2.00,Sourced from Application Support / L1 Support
Application Support,Trainee,Project / Process,Focus on QA process for improvement of Quality,100% QA,3.00,Sourced from Application Support / L1 Support
Application Support,Trainee,Project / Process,Daily Checklist,100%Adherence to execution of daily task list and preparation of daily checklist report,6.00,Sourced from Application Support / L1 Support
Application Support,Trainee,Project / Process,Review daily Task with L2,100% Submission of daily tracker and review with L2/L3,3.00,Sourced from Application Support / L1 Support
Application Support,Trainee,Project / Process,Deployment activity Support,100% Adherence to guidelines/SOPs,2.00,Sourced from Application Support / L1 Support
Application Support,Trainee,Project / Process,DR Drill Support,100% Adherence to guidelines/SOPs,2.00,Sourced from Application Support / L1 Support
Application Support,Trainee,Project / Process,Product and Infra Setup Understanding,min 5 unique knowledge article submission on quarterly basis,3.00,Sourced from Application Support / L1 Support
Application Support,Trainee,Project / Process,BAU activities,Baseon SLA,3.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Application Support,Trainee,Project / Process,User Based issues,Depends on priority agreed by bank,6.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Application Support,Trainee,Project / Process,Quaterly Activity -DR Drill,Quarterly,6.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Application Support,Trainee,Internal / External Customer,Response to queries,Max in 24 Hrs all the time,3.00,Sourced from Application Support / L1 Support
Application Support,Trainee,Internal / External Customer,Drop in Escalation,Drop in escalation by 80%,2.00,Sourced from Application Support / L1 Support
Application Support,Trainee,Internal / External Customer,C-SAT,8 by 10,2.00,Templatised data from client/internal manager; Sourced from Application Support / L1 Support
Application Support,Trainee,Internal / External Customer,MIS Report,based on frequency as per client requirement,3.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Application Support,Trainee,Internal / External Customer,Performance report to bank,Daily basis,3.00,"Not rated for this year - but practice initiated; Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Application Support,Trainee,People,Timely Interviews,Not more than 10% cancellation / postponement,3.00,Sourced from Application Support / L1 Support
Application Support,Trainee,People,Compliance to Zoho Time,1,3.00,Sourced from Application Support / L1 Support
Application Support,Trainee,People,Team attrition for Overall CI,< 15%,3.00,Sourced from Application Support / L1 Support
Application Support,Trainee,People,Employee Review Quarterly,1,2.00,Sourced from Application Support / L1 Support
Application Support,Trainee,People,Time sheet,100% Adherence,3.00,Sourced from Application Support / L1 Support
Application Support,Trainee,People,JIRA,100% Adherence,3.00,Sourced from Application Support / L1 Support
Application Support,Trainee,People,Interpersonal skills,No Major Escalation for behavioral issues,2.00,Sourced from Application Support / L1 Support
Application Support,Trainee,People,Training,40 hours of training in a year arrnaged by MGS,2.00,Sourced from Application Support / L1 Support
Application Support,Trainee,People,Timesheet,100% Adoption,1.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Application Support,Trainee,People,JIRA Tracking,100% Adoption,1.00,"Tab is named ""Template""; generic support goals, assigned to L1; Sourced from Application Support / L1 Support"
Business Finance,Executive,Financial,Routine Finance Operations & Data Entry Accuracy,"Process financial transactions, PO matching, and invoice entries with > 99% data accuracy",25.00,
Business Finance,Executive,Financial,Accounts Receivable & Payable Support Execution,Ensure timely processing of vendor payments and assist in customer payment follow-ups,20.00,
Business Finance,Executive,Project / Process,Daily Log & Checklist Adherence,100% on-time execution of daily finance operational checklists and tool updates,20.00,
